Level,Apparatus,Category,Skill,TargetValue,TargetUnitOrMetric
Bronze,Floor,Basic Shapes,Hollow/Arch/Tight body,,quality
Bronze,Floor,Rolls,Forward Roll,,quality
Bronze,Floor,Rolls,Backward Roll,,quality
Bronze,Floor,Basic Shaped Jumps,Straight Jump,,quality
Bronze,Floor,Basic Shaped Jumps,Star Jump,,quality
Bronze,Floor,Basic Shaped Jumps,Tuck Jump,,quality
Bronze,Floor,Hand/Head Stand,Headstand,20,sec
Bronze,Floor,Hand/Head Stand,Handstand (wall),20,sec
Bronze,Floor,Bridge & Candlestick,Bridge,20,sec
Bronze,Floor,Bridge & Candlestick,Candlestick,20,sec
Bronze,Floor,Splits,Middle Split,15,sec
Bronze,Floor,Splits,Front Split (Right),15,sec
Bronze,Floor,Splits,Front Split (Left),15,sec
Bronze,Bars,Static Holds,Long Hang,20,sec
Bronze,Bars,Free Hangs,Tuck Hang,10,sec
Bronze,Bars,Free Hangs,Straddle Hang,10,sec
Bronze,Bars,Free Hangs,L-Hang,10,sec
Bronze,Bars,Sole Hangs,Tuck Sole Hang,10,sec
Bronze,Bars,Sole Hangs,Straddle Sole Hang,10,sec
Bronze,Bars,Sole Hangs,Stride Sole Hang,10,sec
Bronze,Bars,Transitions,Tummy Roll (chin above bar),,quality
Bronze,Bars,Static Holds,Front Support,20,sec
Bronze,Bars,Strength,Chin-up Hold,10,sec
Bronze,Vault,Running Drill,Best Sprint Time,,time
Bronze,Vault,Hurdle Drill,Form,,quality
Bronze,Vault,Shaped Jumps,Straight Jump,,quality
Bronze,Vault,Shaped Jumps,Star Jump,,quality
Bronze,Vault,Shaped Jumps,Tuck Jump,,quality
Bronze,Vault,Landings,Stick Count,10,sticks
Bronze,Beam,Support Positions,Front/Back/Stride Support,,quality
Bronze,Beam,Walks,F/B/Side + Relevé,,quality
Bronze,Beam,Balance,One-leg Balance,10,sec
Bronze,Beam,Scales,Front Scale,10,sec
Bronze,Beam,Scales,Side (Y) Scale,10,sec
Silver,Floor,,Cart Wheel - joined legs at the end,,quality
Silver,Floor,,Backward Roll - toes together,,quality
Silver,Floor,,Candlestick - arms by ears,,quality
Silver,Floor,,"Passe, chasse, plié",,quality
Silver,Floor,,Handstand - 2 sec hold,2,sec
Silver,Floor,,Forward roll - toes together,,quality
Silver,Bars,,"Pull over - joined, stretched legs",,quality
Silver,Bars,,Cast - shoulder level,,quality
Silver,Bars,,Back hip circle - stretched body,,quality
Silver,Bars,,Straddle sole circle dismount,,quality
Silver,Vault,,Running drills,,time
Silver,Vault,,Hurdle drills,,time
Silver,Vault,,Stretch jump from spring board,,quality
Silver,Vault,,Kick to handstand,,quality
Silver,Vault,,Handstand flat back,,quality
Silver,Vault,,Landings,10,sticks
Silver,Beam,,Jump - front support mount,,quality
Silver,Beam,,Needle kick,,quality
Silver,Beam,,"Passe, plié, relevé - 10 sec balance",10,sec
Silver,Beam,,"Stretch jump, arabesque",,quality
